Cert Insights Monthly From (1 May 2025 to 31 May 2025)
Partner,Slug,Name,TotalUniqueEarnedCertificate,TotalUniqueCertAddedToProfile
"LambdaTest","lambdatest-software-testing-professional-certificate","LambdaTest Software Testing Professional Certificate",64,41
"Microsoft-Mandarin","1c73bf8b-1a31-33ee-afed-3eb01bb927df","面向组织领导者的人工智能基础知识 (微软与领英联合制作)",4,0
"Linkedin","linkedin-learning-dei-awareness-professional-certificate","LinkedIn Learning DEI Awareness Professional Certificate",159,0
"Adobe","essential-skills-in-adobe-indesign-2025-professional-certificate","Essential Skills in Adobe InDesign 2025 Professional Certificate",80,51
"Microsoft-Japanese","df68f27a-23d1-319a-b480-521544d0b2b0","サイバーセキュリティの基礎知識 by Microsoft x LinkedIn",6,0
"Toastmasters International","public-speaking-skills-professional-certificate-by-toastmasters-international","Public Speaking Skills Professional Certificate by Toastmasters International",385,203
"CSCMP","cscmp-supply-chain-foundations-transportation-professional-certificate","CSCMP Supply Chain Foundations: Transportation Professional Certificate",102,52
"Microsoft-Portugese","competencias-essenciais-para-a-carreira-em-administracao-de-sistemas-pela-microsoft-e-linkedin","Competencias Essenciais para a Carreira de Administracao de Sistemas por Microsoft e LinkedIn",19,0
"Microsoft","ai-for-managers-by-microsoft-and-linkedin","AI for Managers by Microsoft and LinkedIn",2799,607
"Microsoft-Mandarin","16fed480-422b-3a6c-a2ee-ef7e3437abd0","项目管理职业技能基础 (微软与领英联合制作)",7,0
"ChurnZero","customer-success-foundations-professional-certificate-by-churnzero","Customer Success Foundations Professional Certificate by ChurnZero",124,84
"Microsoft","career-essentials-in-data-analysis-by-microsoft-and-linkedin","Career Essentials in Data Analysis by Microsoft and LinkedIn",1476,1021
"Intuit Mailchimp","email-marketing-professional-certificate-by-intuit-mailchimp","Email Marketing Professional Certificate by Intuit Mailchimp",182,121
"Zendesk","zendesk-customer-service-professional-certificate","Zendesk Customer Service Professional Certificate",402,294
"Adobe","essential-skills-in-adobe-photoshop-2025-professional-certificate","Essential Skills in Adobe Photoshop 2025 Professional Certificate",66,50
"Microsoft-Japanese","career-essentials-in-system-administration-by-microsoft-and-linkedin-19426914","システム管理の基礎知識 by Microsoft x LinkedIn",7,0
"Microsoft","career-essentials-in-business-analysis-by-microsoft-and-linkedin","Career Essentials in Business Analysis by Microsoft and LinkedIn",646,454
"Microsoft","career-essentials-in-system-administration-by-microsoft-and-linkedin","Career Essentials in System Administration by Microsoft and LinkedIn",381,214
"Linkedin","linkedin-learning-cloud-strategy-professional-certificate","LinkedIn Learning Cloud Strategy Professional Certificate",28,0
"LambdaTest","lambdatest-test-automation-professional-certificate","LambdaTest Test Automation Professional Certificate",50,32
"Microsoft-French","microsoft-copilot-pour-la-productivite-par-microsoft-et-linkedin","Microsoft Copilot pour la productivité par Microsoft et LinkedIn",21,3
"Microsoft-French","preparer-votre-carriere-dans-la-cybersecurite-par-microsoft-et-linkedin","Preparer votre carriere dans la cybersecurite par Microsoft et LinkedIn",47,0
"Microsoft","career-essentials-in-generative-ai-by-microsoft-and-linkedin","Career Essentials in Generative AI by Microsoft and LinkedIn",3791,2149
"Content Marketing Institute","digital-marketing-professional-certificate-by-content-marketing-institute","Digital Marketing Professional Certificate by Content Marketing Institute",177,124
"Microsoft-Mandarin","e18b4fab-71c8-3fed-a920-f2be04490238","行政助理职业技能基础 (微软与领英联合制作)",2,0
"Mozilla","javascript-foundations-professional-certificate-by-mozilla","JavaScript Foundations Professional Certificate by Mozilla",88,65
"Microsoft-Portugese","aumente-sua-produtividade-com-o-microsoft-copilot-um-conteudo-da-microsoft-e-do-linkedin","Aumente sua Produtividade com o Microsoft Copilot, um conteúdo da Microsoft e do LinkedIn",27,4
"Microsoft-Spanish","fundamentos-profesionales-en-ciberseguridad-por-microsoft-y-linkedin","Fundamentos profesionales en ciberseguridad por Microsoft y LinkedIn",54,0
"CSCMP","cscmp-supply-chain-foundations-warehousing-operations-professional-certificate","CSCMP Supply Chain Foundations: Warehousing Operations Professional Certificate",157,106
"Microsoft-German","grundwissen-datenanalyse-bereitgestellt-von-microsoft-und-linkedin","Grundwissen Datenanalyse bereitgestellt von Microsoft und LinkedIn",9,0
"Microsoft-German","grundwissen-softwareentwicklung-bereitgestellt-von-microsoft-und-linkedin","Grundwissen Softwareentwicklung bereitgestellt von Microsoft und LinkedIn",5,0
